Predateur;Proie;Nom_vernaculaire;Proie(acc_name);Type;Pays;Région;Site;Date;Scavenger;Source;Commentaires
Canis lupus familiaris;Canis lupus familiaris;;;Feeds on;Ecuador;Galapagos Islands;Isabela;;;Feral dogs of southern Isabela;
Canis lupus familiaris;Sula dactylatra;;;Feeds on;Ecuador;Galapagos Islands;Isabela;;;Dog days on Isabela;
Canis lupus;Amblyrhynchus cristatus;Marine iguana;;Feeds on young;Ecuador;Galapagos Islands;Isabela (Sierra Negra);1934;;Eradication and control of feral and free-ranging dogs in the Galapagos Islands;
Canis lupus;Amblyrhynchus cristatus;Marine iguana;;Feeds on young;Ecuador;Galapagos Islands;Isabela (Cartago Bay);1983;;Feral dogs of Galapagos Islands: Impact and control;
Canis lupus familiaris;Zalophus wollebaeki;Sea lion;;Feeds on young;Ecuador;Galapagos Islands;Isabela (Cartago Bay);1983;;Feral dogs of Galapagos Islands: Impact and control;
Canis lupus familiaris;Arctocephalus galapagoensis;Fur seal;;Feeds on young;Ecuador;Galapagos Islands;Isabela (Cartago Bay);1983;;Feral dogs of Galapagos Islands: Impact and control;
Canis lupus familiaris;Pelicanus occidentalis urinator;Brown pelican;;Feeds on;Ecuador;Galapagos Islands;Isabela (Cartago Bay);1983;;Feral dogs of Galapagos Islands: Impact and control;
Canis lupus familiaris;Puffinus lherminieri;Audubon shearwater;;Feeds on;Ecuador;Galapagos Islands;Isabela (Cartago Bay);1983;;Feral dogs of Galapagos Islands: Impact and control;
Canis lupus familiaris;Sula nebouxi;Blue-footed boobies;;Feeds on;Ecuador;Galapagos Islands;Isabela (Cartago Bay);1983;;Feral dogs of Galapagos Islands: Impact and control;
Canis lupus familiaris;Felis catus;Feral cat;;Feeds on;Ecuador;Galapagos Islands;Isabela (Cartago Bay);1983;;Feral dogs of Galapagos Islands: Impact and control;
Canis lupus familiaris;Rattus rattus;Black rat;;Feeds on;Ecuador;Galapagos Islands;Isabela (Cartago Bay);1983;;Feral dogs of Galapagos Islands: Impact and control;
Canis lupus familiaris;Bos taurus;;;Feeds on;Ecuador;Galapagos Islands;Isabela (Cerro Azul);1983;;Feral dogs of Galapagos Islands: Impact and control;
Canis lupus familiaris;Coleoptera;;;Feeds on;Ecuador;Galapagos Islands;Isabela (Cerro Azul);1983;;Feral dogs of Galapagos Islands: Impact and control;
Canis lupus familiaris;Orthoptera;;;Feeds on;Ecuador;Galapagos Islands;Isabela (Cerro Azul);1983;;Feral dogs of Galapagos Islands: Impact and control;
Canis lupus familiaris;Graminae;Grass;;Feeds on;Ecuador;Galapagos Islands;Isabela (Cerro Azul);1983;;Feral dogs of Galapagos Islands: Impact and control;
Canis lupus familiaris;Filicophyta;Ferns;;Feeds on;Ecuador;Galapagos Islands;Isabela (Cerro Azul);1983;;Feral dogs of Galapagos Islands: Impact and control;
Canis lupus familiaris;Geospiza fuliginosa;;;Feeds on;Ecuador;Galapagos Islands;Isabela (Cerro Azul);1983;;Feral dogs of Galapagos Islands: Impact and control;
Canis lupus familiaris;Canis lupus;;;Feeds on;Ecuador;Galapagos Islands;Isabela (Cerro Azul);1983;;Feral dogs of Galapagos Islands: Impact and control;
Canis lupus familiaris;Tropidurus albemarlensis;;;Feeds on;Ecuador;Galapagos Islands;Isabela (Sierra Negra);1983;;Feral dogs of Galapagos Islands: Impact and control;
