Predateur;Proie;Nom_vernaculaire;Proie(acc_name);Type;Pays;Région;Site;Date;Scavenger;Source;Commentaires
Camarhynchus parvulus;Chiococca alba;;;Feeds on fruits/seeds;Ecuador;Galapagos Islands;;;;Frugivory and seed dispersal in the Galapagos;DB based on litterature
Camarhynchus parvulus;Psychotria rufipes;;;Feeds on fruits/seeds;Ecuador;Galapagos Islands;;;;Frugivory and seed dispersal in the Galapagos;DB based on litterature
Camarhynchus parvulus;Zanthoxylum fagara;;;Feeds on fruits/seeds;Ecuador;Galapagos Islands;;;;Frugivory and seed dispersal in the Galapagos;DB based on litterature
Camarhynchus parvulus;Solanum americanum;;;Feeds on fruits/seeds;Ecuador;Galapagos Islands;;;;Frugivory and seed dispersal in the Galapagos;DB based on litterature
Camarhynchus parvulus;Solanum lycopersicum;;;Feeds on fruits/seeds;Ecuador;Galapagos Islands;;;;Frugivory and seed dispersal in the Galapagos;DB based on litterature
Camarhynchus parvulus;Phoradendron henslovii;;;Feeds on fruits/seeds;Ecuador;Galapagos Islands;;;;Frugivory and seed dispersal in the Galapagos;DB based on litterature
Camarhynchus parvulus;Rubus niveus;;;Feeds on fruits;Ecuador;Galapagos Islands;Santa Cruz;2005-2006;;Avian seed dispersers of the invasive Rubus niveus (Rosaceae) in the Galapagos Islands, Ecuador;
Camarhynchus parvulus;Rubus niveus;;;Feeds on nectar/pollen;Ecuador;Galapagos Islands;Santa Cruz;2005-2006;;Avian seed dispersers of the invasive Rubus niveus (Rosaceae) in the Galapagos Islands, Ecuador;
Camarhynchus parvulus;Miconia robinsoniana;;;Feeds on fruits/seeds;Ecuador;Galapagos Islands;Santa Cruz;2000;;Darwin's Finches as Seed Predators and Dispersers;
Camarhynchus parvulus;Psychotria rufipes;;;Feeds on fruits/seeds;Ecuador;Galapagos Islands;Santa Cruz;2000;;Darwin's Finches as Seed Predators and Dispersers;
Camarhynchus parvulus;Scutia spicata;;;Feeds on fruits/seeds;Ecuador;Galapagos Islands;Santa Cruz;2000;;Darwin's Finches as Seed Predators and Dispersers;
Camarhynchus parvulus;Tournefortia rufo-sericeae;;;Feeds on fruits/seeds;Ecuador;Galapagos Islands;Santa Cruz;2000;;Darwin's Finches as Seed Predators and Dispersers;
Camarhynchus parvulus;Blechum pyramidatum;;;Feeds on fruits/seeds;Ecuador;Galapagos Islands;Santa Cruz;2000;;Darwin's Finches as Seed Predators and Dispersers;
Camarhynchus parvulus;Boerhaavia caribaea;;;Feeds on fruits/seeds;Ecuador;Galapagos Islands;Santa Cruz;2000;;Darwin's Finches as Seed Predators and Dispersers;
Camarhynchus parvulus;Kyllinga brevifolia;;;Feeds on fruits/seeds;Ecuador;Galapagos Islands;Santa Cruz;2000;;Darwin's Finches as Seed Predators and Dispersers;
Camarhynchus parvulus;Sporobolus indicus;;;Feeds on fruits/seeds;Ecuador;Galapagos Islands;Santa Cruz;2000;;Darwin's Finches as Seed Predators and Dispersers;
Camarhynchus parvulus;Tournefortia psilostachya;;;Feeds on fruits/seeds;Ecuador;Galapagos Islands;Santa Cruz;2000;;Darwin's Finches as Seed Predators and Dispersers;
Camarhynchus parvulus;﻿Bidens pilosa;;;Feeds on fruits/seeds;Ecuador;Galapagos Islands;Santa Cruz;2000;;Darwin's Finches as Seed Predators and Dispersers;
Camarhynchus parvulus;Paspalum conjugatum;;;Feeds on fruits/seeds;Ecuador;Galapagos Islands;Santa Cruz;2000;;Darwin's Finches as Seed Predators and Dispersers;
Camarhynchus parvulus;Solanum americanum;;;Feeds on fruits/seeds;Ecuador;Galapagos Islands;Santa Cruz;2000;;Darwin's Finches as Seed Predators and Dispersers;
Camarhynchus parvulus;﻿Digitaria horizontalis;;;Feeds on fruits/seeds;Ecuador;Galapagos Islands;Santa Cruz;2000;;Darwin's Finches as Seed Predators and Dispersers;
Camarhynchus parvulus;Panicum maximum;;;Feeds on fruits/seeds;Ecuador;Galapagos Islands;Santa Cruz;2000;;Darwin's Finches as Seed Predators and Dispersers;
Camarhynchus parvulus;Rubus niveus;;;Feeds on fruits/seeds;Ecuador;Galapagos Islands;Santa Cruz;2000;;Darwin's Finches as Seed Predators and Dispersers;
Camarhynchus parvulus;Rubus niveus;;;Feeds on nectar/pollen;Ecuador;Galapagos Islands;Santa Cruz;2014;;The impact of invasive plant management on the foraging ecology of the Warbler Finch (Certhidea olivacea) and the Small Tree Finch (Camarhynchus parvulus) on Galápagos;
Camarhynchus parvulus;Cestrum auriculatum;;;Feeds on nectar/pollen;Ecuador;Galapagos Islands;Santa Cruz;2014;;The impact of invasive plant management on the foraging ecology of the Warbler Finch (Certhidea olivacea) and the Small Tree Finch (Camarhynchus parvulus) on Galápagos;
Camarhynchus parvulus;Passiflora sp.;;;Feeds on nectar/pollen;Ecuador;Galapagos Islands;Santa Cruz;2014;;The impact of invasive plant management on the foraging ecology of the Warbler Finch (Certhidea olivacea) and the Small Tree Finch (Camarhynchus parvulus) on Galápagos;
Camarhynchus parvulus;Rubus niveus;;;Feeds on fruits/seeds;Ecuador;Galapagos Islands;Santa Cruz;2014;;The impact of invasive plant management on the foraging ecology of the Warbler Finch (Certhidea olivacea) and the Small Tree Finch (Camarhynchus parvulus) on Galápagos;
Camarhynchus parvulus;Cestrum auriculatum;;;Feeds on fruits/seeds;Ecuador;Galapagos Islands;Santa Cruz;2014;;The impact of invasive plant management on the foraging ecology of the Warbler Finch (Certhidea olivacea) and the Small Tree Finch (Camarhynchus parvulus) on Galápagos;
Camarhynchus parvulus;Scalesia pedunculata;;;Feeds on fruits/seeds;Ecuador;Galapagos Islands;Santa Cruz;2014;;The impact of invasive plant management on the foraging ecology of the Warbler Finch (Certhidea olivacea) and the Small Tree Finch (Camarhynchus parvulus) on Galápagos;
Camarhynchus parvulus;Coleoptera;Beetles;;Feeds on;Ecuador;Galapagos Islands;Santa Cruz;2014;;The impact of invasive plant management on the foraging ecology of the Warbler Finch (Certhidea olivacea) and the Small Tree Finch (Camarhynchus parvulus) on Galápagos;
Camarhynchus parvulus;Araneae;Spiders;;Feeds on;Ecuador;Galapagos Islands;Santa Cruz;2014;;The impact of invasive plant management on the foraging ecology of the Warbler Finch (Certhidea olivacea) and the Small Tree Finch (Camarhynchus parvulus) on Galápagos;
Camarhynchus parvulus;Formicidae;Ants;;Feeds on;Ecuador;Galapagos Islands;Santa Cruz;2014;;The impact of invasive plant management on the foraging ecology of the Warbler Finch (Certhidea olivacea) and the Small Tree Finch (Camarhynchus parvulus) on Galápagos;
Camarhynchus parvulus;Cicada;Cicadas;;Feeds on;Ecuador;Galapagos Islands;Santa Cruz;2014;;The impact of invasive plant management on the foraging ecology of the Warbler Finch (Certhidea olivacea) and the Small Tree Finch (Camarhynchus parvulus) on Galápagos;
Camarhynchus parvulus;Curculionidae;Beetles;;Feeds on;Ecuador;Galapagos Islands;Santa Cruz;2014;;The impact of invasive plant management on the foraging ecology of the Warbler Finch (Certhidea olivacea) and the Small Tree Finch (Camarhynchus parvulus) on Galápagos;
Camarhynchus parvulus;Miconia robinsoniana;;;Feeds on fruits/seeds;Ecuador;Galapagos Islands;San Cristobal y Santa Cruz;2011;;Contribution by vertebrates to seed dispersal effectiveness in the Galápagos Islands: a community-wide approach;
Camarhynchus parvulus;Paspalum conjugatum;;;Feeds on fruits/seeds;Ecuador;Galapagos Islands;San Cristobal y Santa Cruz;2011;;Contribution by vertebrates to seed dispersal effectiveness in the Galápagos Islands: a community-wide approach;
Camarhynchus parvulus;Poaceae;;;Feeds on fruits/seeds;Ecuador;Galapagos Islands;San Cristobal y Santa Cruz;2011;;Contribution by vertebrates to seed dispersal effectiveness in the Galápagos Islands: a community-wide approach;
Camarhynchus parvulus;Solanum americanum;;;Feeds on fruits/seeds;Ecuador;Galapagos Islands;San Cristobal y Santa Cruz;2011;;Contribution by vertebrates to seed dispersal effectiveness in the Galápagos Islands: a community-wide approach;
Camarhynchus parvulus;Talinum paniculatum;;;Feeds on fruits/seeds;Ecuador;Galapagos Islands;San Cristobal y Santa Cruz;2011;;Contribution by vertebrates to seed dispersal effectiveness in the Galápagos Islands: a community-wide approach;
Camarhynchus pauper;Bursera graveolens;;;Feeds on fruits/seeds;Ecuador;Galapagos Islands;;;;Frugivory and seed dispersal in the Galapagos;DB based on litterature
Camarhynchus psittacula;Rubus niveus;;;Feeds on fruits;Ecuador;Galapagos Islands;Santa Cruz;2005-2006;;Avian seed dispersers of the invasive Rubus niveus (Rosaceae) in the Galapagos Islands, Ecuador;
Camarhynchus psittacula;Opuntia galapageia;;;Feeds on nectar and/or pollen;Ecuador;Galapagos Islands;12 largest islands, excluding baltra;2010-2013;;﻿doi:10.1038/ncomms7376;
Camarhynchus psittacula;Croton scouleri;;;Feeds on nectar and/or pollen;Ecuador;Galapagos Islands;12 largest islands, excluding baltra;2010-2013;;﻿doi:10.1038/ncomms7376;
Camarhynchus psittacula;Bursera graveolens;;;Feeds on nectar and/or pollen;Ecuador;Galapagos Islands;12 largest islands, excluding baltra;2010-2013;;﻿doi:10.1038/ncomms7376;
Camarhynchus psittacula;Maytenus octogona;;;Feeds on nectar and/or pollen;Ecuador;Galapagos Islands;12 largest islands, excluding baltra;2010-2013;;﻿doi:10.1038/ncomms7376;
Camarhynchus psittacula;Miconia robinsoniana;;;Feeds on fruits;Ecuador;Galapagos Islands;12 largest islands, excluding baltra;2010-2013;;﻿doi:10.1038/ncomms7376;
Camarhynchus psittacula;Chamaesyce amplexiaculis;;;Feeds on nectar and/or pollen;Ecuador;Galapagos Islands;12 largest islands, excluding baltra;2010-2013;;﻿doi:10.1038/ncomms7376;
Camarhynchus psittacula;Passiflora suberosa;;;Feeds on nectar and/or pollen;Ecuador;Galapagos Islands;12 largest islands, excluding baltra;2010-2013;;﻿doi:10.1038/ncomms7376;
Camarhynchus psittacula;Solanum lycopersicum;;;Feeds on fruits;Ecuador;Galapagos Islands;12 largest islands, excluding baltra;2010-2013;;﻿doi:10.1038/ncomms7376;
Camarhynchus psittacula;Talinum paniculatum;;;Feeds on fruits;Ecuador;Galapagos Islands;12 largest islands, excluding baltra;2010-2013;;﻿doi:10.1038/ncomms7376;
Camarhynchus psittacula;Cordia lutea;;;Feeds on fruits/seeds;Ecuador;Galapagos Islands;;;;Frugivory and seed dispersal in the Galapagos;DB based on litterature
Camarhynchus psittacula;Momordica charantia;;;Feeds on fruits/seeds;Ecuador;Galapagos Islands;;;;Frugivory and seed dispersal in the Galapagos;DB based on litterature
Camarhynchus psittacula;Miconia robinsoniana;;;Feeds on fruits/seeds;Ecuador;Galapagos Islands;;;;Frugivory and seed dispersal in the Galapagos;DB based on litterature
Camarhynchus psittacula;Rubus niveus;;;Feeds on fruits/seeds;Ecuador;Galapagos Islands;;;;Frugivory and seed dispersal in the Galapagos;DB based on litterature
Camarhynchus psittacula;Nicotiana tabacum;;;Feeds on fruits/seeds;Ecuador;Galapagos Islands;;;;Frugivory and seed dispersal in the Galapagos;DB based on litterature
Camarhynchus psittacula;Solanum lycopersicum;;;Feeds on fruits/seeds;Ecuador;Galapagos Islands;;;;Frugivory and seed dispersal in the Galapagos;DB based on litterature
Camarhynchus psittacula;Phoradendron henslovii;;;Feeds on fruits/seeds;Ecuador;Galapagos Islands;;;;Frugivory and seed dispersal in the Galapagos;DB based on litterature
Camarhynchus psittacula;Phoradendron henslovii;Large tree finch;;Feeds on fruits/seeds;Ecuador;Galapagos Islands;Santa Cruz;2000;;Darwin's Finches as Seed Predators and Dispersers;
Camarhynchus psittacula;Cordia lutea;Large tree finch;;Feeds on fruits/seeds;Ecuador;Galapagos Islands;Santa Cruz;2000;;Darwin's Finches as Seed Predators and Dispersers;
Casmerodius albus;Fish;Fish;;Feeds on;Ecuador;Galapagos Islands;;;;Galapagos. A Natural History guide (Book by Pierre Constant);
Casmerodius albus;Microlophus sp.;Lizards;;Feeds on;Ecuador;Galapagos Islands;;;;Galapagos. A Natural History guide (Book by Pierre Constant);
Casmerodius albus;Tettigoniidae;Grasshoppers;;Feeds on;Ecuador;Galapagos Islands;;;;Galapagos. A Natural History guide (Book by Pierre Constant);
Casmerodius albus;Acrididae;Grasshoppers;;Feeds on;Ecuador;Galapagos Islands;;;;Galapagos. A Natural History guide (Book by Pierre Constant);
Casmerodius albus;Insecta;Insects;;Feeds on;Ecuador;Galapagos Islands;;;;Galapagos. A Natural History guide (Book by Pierre Constant);
Casmerodius albus;Thraupidae;Finches;;Feeds on;Ecuador;Galapagos Islands;Daphne Major;1976-1978;;Morphological variation in the Darwin's Finches (Geospizinae) of daphne Major Island, Galapagos;Pellet content
Certhidea fusca;Impatiens balsamina;;;Feeds on nectar and/or pollen;Ecuador;Galapagos Islands;12 largest islands, excluding baltra;2010-2013;;﻿doi:10.1038/ncomms7376;
Certhidea fusca;Galactia striata;;;Feeds on nectar and/or pollen;Ecuador;Galapagos Islands;12 largest islands, excluding baltra;2010-2013;;﻿doi:10.1038/ncomms7376;
Certhidea fusca;Chamaesyce recurva;;;Feeds on nectar and/or pollen;Ecuador;Galapagos Islands;12 largest islands, excluding baltra;2010-2013;;﻿doi:10.1038/ncomms7376;
Certhidea fusca;Rhynchosia minima;;;Feeds on nectar and/or pollen;Ecuador;Galapagos Islands;12 largest islands, excluding baltra;2010-2013;;﻿doi:10.1038/ncomms7376;
Certhidea fusca;Polyscias guilfoylei;;;Feeds on nectar and/or pollen;Ecuador;Galapagos Islands;12 largest islands, excluding baltra;2010-2013;;﻿doi:10.1038/ncomms7376;
Certhidea fusca;Syzygium jambos;;;Feeds on nectar and/or pollen;Ecuador;Galapagos Islands;12 largest islands, excluding baltra;2010-2013;;﻿doi:10.1038/ncomms7376;
Certhidea fusca;Plumbago zeylanica;;;Feeds on nectar and/or pollen;Ecuador;Galapagos Islands;12 largest islands, excluding baltra;2010-2013;;﻿doi:10.1038/ncomms7376;
Certhidea fusca;Ceiba pentandra;;;Feeds on nectar and/or pollen;Ecuador;Galapagos Islands;12 largest islands, excluding baltra;2010-2013;;﻿doi:10.1038/ncomms7376;
Certhidea fusca;Scalesia affinis;;;Feeds on nectar and/or pollen;Ecuador;Galapagos Islands;12 largest islands, excluding baltra;2010-2013;;﻿doi:10.1038/ncomms7376;
Certhidea fusca;Psidium galapageium;;;Feeds on nectar and/or pollen;Ecuador;Galapagos Islands;12 largest islands, excluding baltra;2010-2013;;﻿doi:10.1038/ncomms7376;
Certhidea fusca;Psidium guajava;;;Feeds on nectar and/or pollen;Ecuador;Galapagos Islands;12 largest islands, excluding baltra;2010-2013;;﻿doi:10.1038/ncomms7376;
Certhidea fusca;Miconia robinsoniana;;;Feeds on fruits;Ecuador;Galapagos Islands;12 largest islands, excluding baltra;2010-2013;;﻿doi:10.1038/ncomms7376;
Certhidea fusca;Rubus niveus;;;Feeds on nectar and/or pollen;Ecuador;Galapagos Islands;12 largest islands, excluding baltra;2010-2013;;﻿doi:10.1038/ncomms7376;
Certhidea fusca;Lantana peduncularis;;;Feeds on nectar and/or pollen;Ecuador;Galapagos Islands;12 largest islands, excluding baltra;2010-2013;;﻿doi:10.1038/ncomms7376;
Certhidea fusca;Cardiospermum galapageium;;;Feeds on nectar and/or pollen;Ecuador;Galapagos Islands;12 largest islands, excluding baltra;2010-2013;;﻿doi:10.1038/ncomms7376;
Certhidea fusca;Paspalum conjugatum;;;Feeds on fruits;Ecuador;Galapagos Islands;12 largest islands, excluding baltra;2010-2013;;﻿doi:10.1038/ncomms7376;
Certhidea fusca;Miconia robinsoniana;;;Feeds on fruits/seeds;Ecuador;Galapagos Islands;San Cristobal y Santa Cruz;2011;;Contribution by vertebrates to seed dispersal effectiveness in the Galápagos Islands: a community-wide approach;
Certhidea fusca;Paspalum conjugatum;;;Feeds on fruits/seeds;Ecuador;Galapagos Islands;San Cristobal y Santa Cruz;2011;;Contribution by vertebrates to seed dispersal effectiveness in the Galápagos Islands: a community-wide approach;
Certhidea olivacea;Nolana galapagensis;;;Feeds on nectar and/or pollen;Ecuador;Galapagos Islands;12 largest islands, excluding baltra;2010-2013;;﻿doi:10.1038/ncomms7376;
Certhidea olivacea;Rhynchosia minima;;;Feeds on nectar and/or pollen;Ecuador;Galapagos Islands;12 largest islands, excluding baltra;2010-2013;;﻿doi:10.1038/ncomms7376;
Certhidea olivacea;Psidium guajava;;;Feeds on nectar and/or pollen;Ecuador;Galapagos Islands;12 largest islands, excluding baltra;2010-2013;;﻿doi:10.1038/ncomms7376;
Certhidea olivacea;Miconia robinsoniana;;;Feeds on fruits;Ecuador;Galapagos Islands;12 largest islands, excluding baltra;2010-2013;;﻿doi:10.1038/ncomms7376;
Certhidea olivacea;Cardiospermum galapageium;;;Feeds on nectar and/or pollen;Ecuador;Galapagos Islands;12 largest islands, excluding baltra;2010-2013;;﻿doi:10.1038/ncomms7376;
Certhidea olivacea;Scalesia pedunculata;;;Feeds on fruits;Ecuador;Galapagos Islands;12 largest islands, excluding baltra;2010-2013;;﻿doi:10.1038/ncomms7376;
Certhidea olivacea;Scalesia pedunculata;;;Feeds on fruits/seeds;Ecuador;Galapagos Islands;;;;Frugivory and seed dispersal in the Galapagos;DB based on litterature
Certhidea olivacea;Miconia robinsoniana;;;Feeds on fruits/seeds;Ecuador;Galapagos Islands;;;;Frugivory and seed dispersal in the Galapagos;DB based on litterature
Certhidea olivacea;Rubus niveus;;;Feeds on fruits/seeds;Ecuador;Galapagos Islands;;;;Frugivory and seed dispersal in the Galapagos;DB based on litterature
Certhidea olivacea;Psychotria rufipes;;;Feeds on fruits/seeds;Ecuador;Galapagos Islands;;;;Frugivory and seed dispersal in the Galapagos;DB based on litterature
Certhidea olivacea;Rubus niveus;;;Feeds on nectar/pollen;Ecuador;Galapagos Islands;Santa Cruz;2005-2006;;Avian seed dispersers of the invasive Rubus niveus (Rosaceae) in the Galapagos Islands, Ecuador;
Certhidea olivacea;Miconia robinsoniana;;;Feeds on fruits/seeds;Ecuador;Galapagos Islands;Santa Cruz;2000;;Darwin's Finches as Seed Predators and Dispersers;
Certhidea olivacea;Psychotria rufipes;;;Feeds on fruits/seeds;Ecuador;Galapagos Islands;Santa Cruz;2000;;Darwin's Finches as Seed Predators and Dispersers;
Certhidea olivacea;Scalesia pedunculata;;;Feeds on fruits/seeds;Ecuador;Galapagos Islands;Santa Cruz;2000;;Darwin's Finches as Seed Predators and Dispersers;
Certhidea olivacea;Rubus niveus;;;Feeds on fruits/seeds;Ecuador;Galapagos Islands;Santa Cruz;2000;;Darwin's Finches as Seed Predators and Dispersers;
Certhidea olivacea;Rubus niveus;;;Feeds on nectar/pollen;Ecuador;Galapagos Islands;Santa Cruz;2014;;The impact of invasive plant management on the foraging ecology of the Warbler Finch (Certhidea olivacea) and the Small Tree Finch (Camarhynchus parvulus) on Galápagos;
Certhidea olivacea;Formicidae;Ants;;Feeds on;Ecuador;Galapagos Islands;Santa Cruz;2014;;The impact of invasive plant management on the foraging ecology of the Warbler Finch (Certhidea olivacea) and the Small Tree Finch (Camarhynchus parvulus) on Galápagos;
Certhidea olivacea;Araneae;Spiders;;Feeds on;Ecuador;Galapagos Islands;Santa Cruz;2014;;The impact of invasive plant management on the foraging ecology of the Warbler Finch (Certhidea olivacea) and the Small Tree Finch (Camarhynchus parvulus) on Galápagos;
Certhidea olivacea;Lepidoptera;Moths;;Feeds on;Ecuador;Galapagos Islands;Santa Cruz;2014;;The impact of invasive plant management on the foraging ecology of the Warbler Finch (Certhidea olivacea) and the Small Tree Finch (Camarhynchus parvulus) on Galápagos;
Certhidea olivacea;Coleoptera;Beetles;;Feeds on;Ecuador;Galapagos Islands;Santa Cruz;2014;;The impact of invasive plant management on the foraging ecology of the Warbler Finch (Certhidea olivacea) and the Small Tree Finch (Camarhynchus parvulus) on Galápagos;
Certhidea olivacea;Cicada;Cicadas;;Feeds on;Ecuador;Galapagos Islands;Santa Cruz;2014;;The impact of invasive plant management on the foraging ecology of the Warbler Finch (Certhidea olivacea) and the Small Tree Finch (Camarhynchus parvulus) on Galápagos;
Certhidea olivacea;Miconia robinsoniana;;;Feeds on fruits/seeds;Ecuador;Galapagos Islands;San Cristobal y Santa Cruz;2011;;Contribution by vertebrates to seed dispersal effectiveness in the Galápagos Islands: a community-wide approach;
Certhidea sp.;Cordia sp.;;;Feeds on flowers;;Galapagos Islands;Genovesa;1978;;The Breeding and Feeding Characteristics of Darwin's Finches on Isla Genovesa, Galapagos;
Certhidea sp.;Waltheria sp.;;;Feeds on flowers;;Galapagos Islands;Genovesa;1978;;The Breeding and Feeding Characteristics of Darwin's Finches on Isla Genovesa, Galapagos;
Coccyzus melacoryphus;Tournefortia psilostachya;;;Feeds on fruits;Ecuador;Galapagos Islands;Santa Cruz;;;Native and introduced birds of Galapagos as dispersers of native and introduced plants;
Coccyzus melacoryphus;Galactia striata;;;Feeds on nectar and/or pollen;Ecuador;Galapagos Islands;12 largest islands, excluding baltra;2010-2013;;﻿doi:10.1038/ncomms7376;
Coccyzus melacoryphus;Nolana galapagensis;;;Feeds on nectar and/or pollen;Ecuador;Galapagos Islands;12 largest islands, excluding baltra;2010-2013;;﻿doi:10.1038/ncomms7376;
Coccyzus melacoryphus;Chamaesyce recurva;;;Feeds on nectar and/or pollen;Ecuador;Galapagos Islands;12 largest islands, excluding baltra;2010-2013;;﻿doi:10.1038/ncomms7376;
Coccyzus melacoryphus;Psidium guajava;;;Feeds on nectar and/or pollen;Ecuador;Galapagos Islands;12 largest islands, excluding baltra;2010-2013;;﻿doi:10.1038/ncomms7376;
Coccyzus melacoryphus;Tournefortia psilostachya;;;Feeds on fruits;Ecuador;Galapagos Islands;12 largest islands, excluding baltra;2010-2013;;﻿doi:10.1038/ncomms7376;
Coccyzus melacoryphus;Insecta;Insects;;Feeds on;Ecuador;Galapagos Islands;;;;Galapagos. A Natural Histor (Book by Michael H. Jackson);
Coccyzus melacoryphys;Tettigoniidae;Katydids;;Feeds on;Ecuador;Galapagos Islands;;;;Field notes on the land birds of the Galapagos Isalnds and of Cocos Islands, Costa Rica;
Coccyzus melacoryphys;Acrididae;Grasshoppers;;Feeds on;Ecuador;Galapagos Islands;;;;Field notes on the land birds of the Galapagos Isalnds and of Cocos Islands, Costa Rica;
Coccyzus melacoryphys;Lepidoptera;Lepidoptera;;Feeds on;Ecuador;Galapagos Islands;Santa Cruz;2005;;Avian seed dispersers of the invasive Rubus niveus (Rosaceae) in the Galapagos Islands, Ecuador;
Crotophaga ani;Solanum americanum;;;Feeds on fruits;Ecuador;Galapagos Islands;Santa Cruz;;;Native and introduced birds of Galapagos as dispersers of native and introduced plants;
Crotophaga ani;Tournefortia psilostachya;;;Feeds on fruits;Ecuador;Galapagos Islands;Santa Cruz;;;Native and introduced birds of Galapagos as dispersers of native and introduced plants;
Crotophaga ani;Capsicum frutescens;;;Feeds on fruits;Ecuador;Galapagos Islands;Santa Cruz;;;Native and introduced birds of Galapagos as dispersers of native and introduced plants;
Crotophaga ani;Lantana camara;;;Feeds on fruits;Ecuador;Galapagos Islands;Santa Cruz;;;Native and introduced birds of Galapagos as dispersers of native and introduced plants;
Crotophaga ani;Rubus niveus;;;Feeds on fruits;Ecuador;Galapagos Islands;Santa Cruz;;;Native and introduced birds of Galapagos as dispersers of native and introduced plants;
Crotophaga ani;Tournefortia pubescens;;;Feeds on fruits;Ecuador;Galapagos Islands;Santa Cruz;;;Native and introduced birds of Galapagos as dispersers of native and introduced plants;
Crotophaga ani;Scinax quinquefasciatus;;;Feeds on;Ecuador;Galapagos Islands;;;;Atlas de Galapagos;
Crotophaga ani;Microlophus sp.;;;Feeds on;Ecuador;Galapagos Islands;;;;Atlas de Galapagos;
Crotophaga ani;Laterallus spilonotus;;;Feeds on young;Ecuador;Galapagos Islands;;;;Atlas de Galapagos;
Crotophaga ani;Camarhynchus heliobates;;;Feeds on;Ecuador;Galapagos Islands;;;;Critical problems for bird conservation in the Galapagos Islands;
Crotophaga ani;Mimus trifasciatus;;;Feeds on;Ecuador;Galapagos Islands;;;;Critical problems for bird conservation in the Galapagos Islands;
Crotophaga ani;Miconia robinsoniana;;;Feeds on fruits;Ecuador;Galapagos Islands;12 largest islands, excluding baltra;2010-2013;;﻿doi:10.1038/ncomms7376;
Crotophaga ani;Rubus niveus;;;Feeds on fruits;Ecuador;Galapagos Islands;12 largest islands, excluding baltra;2010-2013;;﻿doi:10.1038/ncomms7376;
Crotophaga ani;Tournefortia psilostachya;;;Feeds on fruits;Ecuador;Galapagos Islands;12 largest islands, excluding baltra;2010-2013;;﻿doi:10.1038/ncomms7376;
Crotophaga ani;Tournefortia pubescens;;;Feeds on fruits;Ecuador;Galapagos Islands;12 largest islands, excluding baltra;2010-2013;;﻿doi:10.1038/ncomms7376;
Crotophaga ani;Passiflora suberosa;;;Feeds on fruits;Ecuador;Galapagos Islands;12 largest islands, excluding baltra;2010-2013;;﻿doi:10.1038/ncomms7376;
Crotophaga ani;Paspalum conjugatum;;;Feeds on fruits;Ecuador;Galapagos Islands;12 largest islands, excluding baltra;2010-2013;;﻿doi:10.1038/ncomms7376;
Crotophaga ani;Solanum americanum;;;Feeds on fruits;Ecuador;Galapagos Islands;12 largest islands, excluding baltra;2010-2013;;﻿doi:10.1038/ncomms7376;
Crotophaga ani;Zanthoxylum fagara;;;Feeds on fruits;Ecuador;Galapagos Islands;12 largest islands, excluding baltra;2010-2013;;﻿doi:10.1038/ncomms7376;
Crotophaga ani;Lantana camara;;;Feeds on fruits;Ecuador;Galapagos Islands;12 largest islands, excluding baltra;2010-2013;;﻿doi:10.1038/ncomms7376;
Crotophaga ani;Capsicum frutescens;;;Feeds on fruits;Ecuador;Galapagos Islands;12 largest islands, excluding baltra;2010-2013;;﻿doi:10.1038/ncomms7376;
Crotophaga ani;Schistocerca melanocera;;;Feeds on;Ecuador;Galapagos Islands;Santa Cruz;2009;;Gizzard contents of the Smooth-billed Ani Crotophaga ani in Santa Cruz, Galapagos Isalnds, Ecuador;
Crotophaga ani;Mus musculus;;;Feeds on;Ecuador;Galapagos Islands;Santa Cruz;2009;;Gizzard contents of the Smooth-billed Ani Crotophaga ani in Santa Cruz, Galapagos Isalnds, Ecuador;
Crotophaga ani;Microlophus sp.;Lizards;;Feeds on;Ecuador;Galapagos Islands;Santa Cruz;2009;;Gizzard contents of the Smooth-billed Ani Crotophaga ani in Santa Cruz, Galapagos Isalnds, Ecuador;
Crotophaga ani;Geospiza;Darwin finch Geospizinae;;Feeds on young;Ecuador;Galapagos Islands;Santa Cruz;2009;;Gizzard contents of the Smooth-billed Ani Crotophaga ani in Santa Cruz, Galapagos Isalnds, Ecuador;
Crotophaga ani;Cordia lutea;;;Feeds on fruits;Ecuador;Galapagos Islands;Santa Cruz;2009;;Gizzard contents of the Smooth-billed Ani Crotophaga ani in Santa Cruz, Galapagos Isalnds, Ecuador;
Crotophaga ani;Chiococca alba;;;Feeds on fruits;Ecuador;Galapagos Islands;Santa Cruz;2009;;Gizzard contents of the Smooth-billed Ani Crotophaga ani in Santa Cruz, Galapagos Isalnds, Ecuador;
Crotophaga ani;Solanum americanum;;;Feeds on fruits;Ecuador;Galapagos Islands;Santa Cruz;2009;;Gizzard contents of the Smooth-billed Ani Crotophaga ani in Santa Cruz, Galapagos Isalnds, Ecuador;
Crotophaga ani;Tournefortia psilostachya;;;Feeds on fruits;Ecuador;Galapagos Islands;Santa Cruz;2009;;Gizzard contents of the Smooth-billed Ani Crotophaga ani in Santa Cruz, Galapagos Isalnds, Ecuador;
Crotophaga ani;Vallesia glabra;;;Feeds on fruits;Ecuador;Galapagos Islands;Santa Cruz;2009;;Gizzard contents of the Smooth-billed Ani Crotophaga ani in Santa Cruz, Galapagos Isalnds, Ecuador;
